freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,decade,log_obs_value,tourism_type
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2012,731662295.0,2010,20.410829619844534,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2013,763965046.0,2010,20.45403259477527,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2014,783989509.0,2010,20.4799061968476,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2015,812820626.0,2010,20.516021010942893,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2016,852319793.0,2010,20.563472358266406,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2017,902209550.0,2010,20.620357368118636,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2018,939403794.0,2010,20.66075597029715,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,944496609.0,2010,20.666162654639997,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,251534468.0,2020,19.343090587815404,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,362694810.0,2020,19.709072294804184,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,801981187.0,2020,20.50259570794967,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,920805766.0,2020,20.640759677298476,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,972907235.0,2020,20.695799296447966,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2012,122700343.0,2010,18.625255705113254,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2013,126330288.0,2010,18.65441036854715,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2014,127373740.0,2010,18.662636157407206,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2015,129691791.0,2010,18.680671355070835,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2016,131988707.0,2010,18.698226923860474,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2017,136114096.0,2010,18.729004033162347,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2018,139276433.0,2010,18.75197124281481,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2019,140561131.0,2010,18.76115304819663,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2020,37631672.0,2020,17.443356594216056,Internacional
Annual,FOREIGN COUNTRY,Number,Hotels and similar accommodation,ITALY,2021,56539456.0,2020,17.850449288676533,Internacional
